device_id,identity,bank,device_fingerprint,gpu_renderers,screen,os,browser,ips,country,countryCode,region,regionName,city,zip,lat,lon,timezone,mobile,proxy,hosting
00993a56-f44b-448d-9d33-78c16f0be636,37294473,Bank1,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.15.1,Chrome 78.0.3904,185.97.201.89,Russia,RU,SPE,St.-Petersburg,St Petersburg,190000,59.8983,30.2618,Europe/Moscow,false,false,false
02591b70-e8f5-4299-901c-e78b2b79b526,2577384,Bank2,6413e837d3-987e3415d7-902dcc5844-27c94f86d9,Apple GPU,"(896, 414, 32)",iOS 12.4.1,Mobile Safari 12.1.2,154.160.10.201,Ghana,GH,AA,Greater Accra Region,Accra,,5.5486,-0.2012,Africa/Accra,true,false,false
07e5a1d3-572d-4d5c-b7df-f903c9533fa7,37294473,Bank1,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.15.1,Chrome 78.0.3904,217.66.159.132,Russia,RU,SPE,St.-Petersburg,St Petersburg,191015,59.9417,30.3096,Europe/Moscow,true,false,false
0a6a1d8c-0be2-4861-922d-ac15d4ac23c2,37294473,Bank1,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.15.1,Chrome 78.0.3904,185.97.201.65,Russia,RU,SPE,St.-Petersburg,St Petersburg,190000,59.8983,30.2618,Europe/Moscow,false,false,false
0b41fbf2-5a5d-43ac-8a67-91def411f9c6,37294473,Bank1,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.15.1,Chrome 78.0.3904,185.97.201.65,Russia,RU,SPE,St.-Petersburg,St Petersburg,190000,59.8983,30.2618,Europe/Moscow,false,false,false
0d78fa6d-200e-4c39-9cbc-e834b11e460e,67853893,Bank1,6413e837d3-987e3415d7-0477bed160-27c94f86d9,Apple GPU,"(896, 414, 32)",iOS 13.3,Mobile Safari 13.0.4,31.173.80.42,Russia,RU,MOW,Moscow,Moscow,127434,55.7483,37.6171,Europe/Moscow,true,false,false
0d78fa6d-200e-4c39-9cbc-e834b11e460e,67853893,Bank1,6413e837d3-987e3415d7-0477bed160-27c94f86d9,Apple GPU,"(896, 414, 32)",iOS 13.3,Mobile Safari 13.0.4,185.155.18.163,Russia,RU,MOW,Moscow,Moscow,127434,55.7483,37.6171,Europe/Moscow,false,false,false
0f432be7-7bf0-4d06-ad3a-1111cf6c8efb,37294473,Bank1,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.15.1,Chrome 78.0.3904,217.66.152.216,Russia,RU,SPE,St.-Petersburg,St Petersburg,191015,59.9417,30.3096,Europe/Moscow,true,false,false
0fd9e0bc-00c9-498f-b3a1-71e9b7dc2e06,-,Bank1,6413e837d3-987e3415d7-0477bed160-27c94f86d9,Apple GPU,"(896, 414, 32)",iOS 13.3,Mobile Safari 13.0.4,185.155.18.189,Russia,RU,MOW,Moscow,Moscow,127434,55.7483,37.6171,Europe/Moscow,false,false,false
0fd9e0bc-00c9-498f-b3a1-71e9b7dc2e06,67853893,Bank1,6413e837d3-987e3415d7-0477bed160-27c94f86d9,Apple GPU,"(896, 414, 32)",iOS 13.3,Mobile Safari 13.0.4,185.155.18.189,Russia,RU,MOW,Moscow,Moscow,127434,55.7483,37.6171,Europe/Moscow,false,false,false
10c29a82-aafa-4044-8acc-aa56d5bc165f,37294473,Bank1,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.15.1,Chrome 78.0.3904,217.66.152.216,Russia,RU,SPE,St.-Petersburg,St Petersburg,191015,59.9417,30.3096,Europe/Moscow,true,false,false
12c62c90-0461-4d60-ac14-8d3787909c1d,37294473,Bank1,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.15.1,Chrome 78.0.3904,185.97.201.170,Russia,RU,SPE,St.-Petersburg,St Petersburg,190000,59.8983,30.2618,Europe/Moscow,false,false,false
12f9ed82-14c5-4a6e-a1ed-372b5331fc0e,37294473,Bank1,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.15.1,Chrome 78.0.3904,217.66.152.216,Russia,RU,SPE,St.-Petersburg,St Petersburg,191015,59.9417,30.3096,Europe/Moscow,true,false,false
1378bf49-a739-44f0-9998-1fbf83810575,67853893,Bank1,6413e837d3-987e3415d7-d623bd6f2d-27c94f86d9,Apple GPU,"(812, 375, 32)",iOS 13.1.3,Mobile Safari 13.0.1,185.6.247.97,Russia,RU,MOW,Moscow,Moscow,,55.8,37.5312,Europe/Moscow,false,true,false
1378bf49-a739-44f0-9998-1fbf83810575,67853893,Bank1,6413e837d3-987e3415d7-d623bd6f2d-27c94f86d9,Apple GPU,"(812, 375, 32)",iOS 13.1.3,Mobile Safari 13.0.1,31.173.30.169,Russia,RU,SAM,Samara Oblast,Samara,404146,53.2038,50.1606,Europe/Samara,true,false,false
152c077c-1c38-4ae3-84f5-4c0129479228,37294473,Bank1,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.15.1,Chrome 78.0.3904,185.97.201.65,Russia,RU,SPE,St.-Petersburg,St Petersburg,190000,59.8983,30.2618,Europe/Moscow,false,false,false
1535ac5c-8f64-4dd6-a150-80b576b1df54,2577384,Bank2,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.14.6,Opera 65.0.3467,197.210.70.155,Nigeria,NG,LA,Lagos,Lagos,,6.44368,3.42653,Africa/Lagos,true,false,true
1535ac5c-8f64-4dd6-a150-80b576b1df54,2577384,Bank2,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.14.6,Opera 66.0.3515,197.210.84.152,Nigeria,NG,RI,Rivers State,Port Harcourt,,4.7731,7.0085,Africa/Lagos,true,false,true
1535ac5c-8f64-4dd6-a150-80b576b1df54,2577384,Bank2,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.14.6,Opera 65.0.3467,45.56.171.14,United Kingdom,GB,ENG,England,London,W1B,51.5074,-0.127758,Europe/London,false,true,false
1535ac5c-8f64-4dd6-a150-80b576b1df54,2577384,Bank2,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.14.6,Opera 65.0.3467,104.238.38.34,United States,US,NY,New York,New York,10003,40.7359,-73.9904,America/New_York,false,true,false
1535ac5c-8f64-4dd6-a150-80b576b1df54,2577384,Bank2,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.14.6,Opera 65.0.3467,45.56.172.110,United States,US,TX,Texas,Dallas,75270,32.7767,-96.797,America/Chicago,false,true,false
1535ac5c-8f64-4dd6-a150-80b576b1df54,2577384,Bank2,b48af28979-116c56e539-9b9e431e93-87a831f69f,Intel(R) Iris(TM) Plus Graphics 655,"(1440, 900, 24)",Mac OS X 10.14.6,Opera 65.0.3467,45.56.172.109,United States,US,TX,Texas,Dallas,75270,32.7767,-96.797,America/Chicago,false,true,false
